Year Week,destination_state,Index YOY Change-Search-Hotel
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Kentucky,-0.320170719
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Illinois,-0.519660901
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Louisiana,-0.60986695
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Iowa,-0.455020379
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Indiana,-0.423484196
"Jun 22, 2020 to Jun 28, 2020 (Week 26)",Idaho,-0.273805831
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Maryland,-0.555631336
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Iowa,-0.604806101
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Louisiana,-0.712870805
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Illinois,-0.662827565
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Indiana,-0.584859165
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Kentucky,-0.446374335
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Maine,-0.680942509
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Kansas,-0.531459167
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Idaho,-0.403123045
"Jun 29, 2020 to Jul 5, 2020 (Week 27)",Hawaii,-0.676689707
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Arizona,0.001777857
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Colorado,-0.013340588
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",California,-0.006985702
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Georgia,-0.011433759
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Connecticut,-0.012083756
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Alabama,-0.002795462
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Florida,-0.007453172
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Alaska,-0.027768247
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Arkansas,-0.012401004
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Delaware,-0.015972607
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Connecticut,0.161336724
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Georgia,0.071047162
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Arizona,0.012932569
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",California,0.087139264
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Florida,0.038327518
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Arkansas,0.141042351
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Alaska,0.011992987
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Delaware,0.02765412
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Colorado,0.012273423
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Alabama,0.044079768
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Colorado,-0.044727073
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Florida,0.014802772
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Arizona,0.020209713
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Connecticut,0.266134967
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Alabama,0.047278018
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Delaware,0.005034656
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Georgia,0.080281647
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",California,0.048198688
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Alaska,-0.00868523
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Arkansas,0.184694962
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Georgia,0.068568419
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Florida,-0.038217309
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Arkansas,0.112243226
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Colorado,-0.058583997
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Connecticut,0.168183365
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",California,-0.007000964
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Delaware,0.022495614
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Arizona,-0.052017465
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Alaska,0.024304126
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Alabama,0.067882473
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Arizona,-0.016571776
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Arkansas,0.134114584
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Florida,-0.075911208
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Georgia,0.058056919
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Delaware,0.141494788
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",California,0.017193595
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Colorado,-0.01466924
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Alabama,0.117125058
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Alaska,0.12537577
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Connecticut,0.125000549
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Florida,-0.089062234
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Delaware,0.258511723
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Arizona,-0.025338359
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Alaska,0.310356096
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Colorado,-0.051706074
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",California,0.008381813
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Arkansas,0.098112872
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Georgia,0.022363739
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Alabama,0.107170729
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Connecticut,0.002833203
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Alaska,-0.117313567
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Arkansas,0.018470634
